0 of 10008 tasks cached; running 10008 on 12 workers
  1537/10008 tasks, 453.2 min elapsed
  1542/10008 tasks, 454.1 min elapsed
  1546/10008 tasks, 454.7 min elapsed
  1552/10008 tasks, 455.3 min elapsed
  1556/10008 tasks, 455.8 min elapsed
  1562/10008 tasks, 456.3 min elapsed
  1567/10008 tasks, 456.9 min elapsed
  1573/10008 tasks, 457.4 min elapsed
  1577/10008 tasks, 457.9 min elapsed
  1582/10008 tasks, 458.4 min elapsed
  1588/10008 tasks, 459.0 min elapsed
  1592/10008 tasks, 459.6 min elapsed
  1597/10008 tasks, 462.9 min elapsed
  1601/10008 tasks, 463.4 min elapsed
  1604/10008 tasks, 464.0 min elapsed
  1608/10008 tasks, 464.5 min elapsed
  1609/10008 tasks, 467.2 min elapsed
  1613/10008 tasks, 467.7 min elapsed
  1616/10008 tasks, 468.4 min elapsed
  1621/10008 tasks, 471.5 min elapsed
  1624/10008 tasks, 472.0 min elapsed
  1628/10008 tasks, 472.6 min elapsed
  1633/10008 tasks, 475.8 min elapsed
  1635/10008 tasks, 476.3 min elapsed
  1639/10008 tasks, 476.8 min elapsed
  1643/10008 tasks, 477.3 min elapsed
  1646/10008 tasks, 477.9 min elapsed
  1651/10008 tasks, 478.5 min elapsed
  1655/10008 tasks, 479.2 min elapsed
  1663/10008 tasks, 479.8 min elapsed
  1667/10008 tasks, 480.4 min elapsed
  1675/10008 tasks, 481.0 min elapsed
  1679/10008 tasks, 481.6 min elapsed
  1687/10008 tasks, 482.2 min elapsed
  1691/10008 tasks, 483.2 min elapsed
  1697/10008 tasks, 486.1 min elapsed
  1702/10008 tasks, 486.6 min elapsed
  1703/10008 tasks, 487.6 min elapsed
  1709/10008 tasks, 490.3 min elapsed
  1714/10008 tasks, 491.1 min elapsed
  1715/10008 tasks, 492.0 min elapsed
  1720/10008 tasks, 492.5 min elapsed
  1721/10008 tasks, 494.6 min elapsed
  1725/10008 tasks, 495.1 min elapsed
  1727/10008 tasks, 496.3 min elapsed
  1732/10008 tasks, 497.0 min elapsed
  1733/10008 tasks, 498.9 min elapsed
  1736/10008 tasks, 499.5 min elapsed
  1739/10008 tasks, 500.6 min elapsed
  1745/10008 tasks, 501.1 min elapsed
  1749/10008 tasks, 501.9 min elapsed
  1754/10008 tasks, 502.4 min elapsed
  1761/10008 tasks, 503.2 min elapsed
  1769/10008 tasks, 503.8 min elapsed
  1773/10008 tasks, 504.5 min elapsed
  1781/10008 tasks, 505.0 min elapsed
  1785/10008 tasks, 505.7 min elapsed
  1791/10008 tasks, 506.2 min elapsed
  1797/10008 tasks, 509.9 min elapsed
  1801/10008 tasks, 510.4 min elapsed
  1806/10008 tasks, 511.1 min elapsed
  1809/10008 tasks, 514.2 min elapsed
  1813/10008 tasks, 514.8 min elapsed
  1818/10008 tasks, 515.5 min elapsed
  1821/10008 tasks, 518.5 min elapsed
  1825/10008 tasks, 519.0 min elapsed
  1830/10008 tasks, 519.9 min elapsed
  1833/10008 tasks, 522.9 min elapsed
  1837/10008 tasks, 523.5 min elapsed
  1842/10008 tasks, 524.0 min elapsed
  1844/10008 tasks, 524.6 min elapsed
  1849/10008 tasks, 525.1 min elapsed
  1853/10008 tasks, 525.7 min elapsed
  1857/10008 tasks, 526.2 min elapsed
  1865/10008 tasks, 527.0 min elapsed
  1870/10008 tasks, 527.5 min elapsed
  1877/10008 tasks, 528.2 min elapsed
  1882/10008 tasks, 528.8 min elapsed
  1889/10008 tasks, 529.7 min elapsed
  1894/10008 tasks, 530.2 min elapsed
  1897/10008 tasks, 532.9 min elapsed
  1900/10008 tasks, 533.4 min elapsed
  1902/10008 tasks, 534.1 min elapsed
  1908/10008 tasks, 534.8 min elapsed
  1909/10008 tasks, 537.2 min elapsed
  1912/10008 tasks, 537.9 min elapsed
  1914/10008 tasks, 538.5 min elapsed
  1920/10008 tasks, 539.2 min elapsed
  1921/10008 tasks, 541.5 min elapsed
  1923/10008 tasks, 542.0 min elapsed
  1925/10008 tasks, 542.7 min elapsed
  1928/10008 tasks, 543.2 min elapsed
  1933/10008 tasks, 545.8 min elapsed
  1935/10008 tasks, 546.5 min elapsed
  1937/10008 tasks, 547.0 min elapsed
  1942/10008 tasks, 547.6 min elapsed
  1950/10008 tasks, 548.1 min elapsed
  1960/10008 tasks, 548.7 min elapsed
  1970/10008 tasks, 549.3 min elapsed
  1979/10008 tasks, 549.8 min elapsed
  1989/10008 tasks, 550.4 min elapsed
  1997/10008 tasks, 554.6 min elapsed
  2007/10008 tasks, 555.2 min elapsed
  2009/10008 tasks, 559.0 min elapsed
  2017/10008 tasks, 559.5 min elapsed
  2021/10008 tasks, 563.4 min elapsed
  2030/10008 tasks, 564.0 min elapsed
  2033/10008 tasks, 567.8 min elapsed
  2041/10008 tasks, 568.3 min elapsed
  2050/10008 tasks, 568.9 min elapsed
  2058/10008 tasks, 569.4 min elapsed
  2068/10008 tasks, 570.0 min elapsed
  2077/10008 tasks, 570.5 min elapsed
  2086/10008 tasks, 571.0 min elapsed
  2093/10008 tasks, 571.5 min elapsed
  2095/10008 tasks, 572.4 min elapsed
  2097/10008 tasks, 575.4 min elapsed
  2105/10008 tasks, 576.1 min elapsed
  2107/10008 tasks, 576.8 min elapsed
  2109/10008 tasks, 579.9 min elapsed
  2116/10008 tasks, 580.4 min elapsed
  2119/10008 tasks, 581.1 min elapsed
  2121/10008 tasks, 584.2 min elapsed
  2127/10008 tasks, 584.8 min elapsed
  2131/10008 tasks, 585.4 min elapsed
  2133/10008 tasks, 588.6 min elapsed
  2139/10008 tasks, 589.2 min elapsed
  2144/10008 tasks, 589.8 min elapsed
  2148/10008 tasks, 590.4 min elapsed
  2153/10008 tasks, 590.9 min elapsed
  2156/10008 tasks, 591.5 min elapsed
  2161/10008 tasks, 592.1 min elapsed
  2169/10008 tasks, 592.7 min elapsed
  2172/10008 tasks, 593.2 min elapsed
  2180/10008 tasks, 593.8 min elapsed
  2184/10008 tasks, 594.4 min elapsed
  2192/10008 tasks, 595.0 min elapsed
  2195/10008 tasks, 595.6 min elapsed
  2197/10008 tasks, 598.5 min elapsed
  2201/10008 tasks, 599.2 min elapsed
  2205/10008 tasks, 599.8 min elapsed
  2208/10008 tasks, 600.4 min elapsed
  2209/10008 tasks, 603.1 min elapsed
  2212/10008 tasks, 603.6 min elapsed
  2217/10008 tasks, 604.2 min elapsed
  2220/10008 tasks, 604.8 min elapsed
  2221/10008 tasks, 607.4 min elapsed
  2224/10008 tasks, 608.0 min elapsed
  2229/10008 tasks, 608.7 min elapsed
1721 of 8468 tasks cached; running 6747 on 12 workers
  8/6747 tasks, 0.5 min elapsed
1736 of 8468 tasks cached; running 6732 on 12 workers
